site_id,location_lat,location_long,trendy_et_median_value,trendy_et_median_method,trendy_et_median_bin,trendy_et_median_bin_label
AU-TTE,-22.287,133.64,285.9890441894531,exact,4,263.9–394.0 mm yr-1
AU-Tum,-35.6566,148.1517,732.27984619140625,exact,6,634.7–968.6 mm yr-1
AU-Wac,-37.4259,145.1878,632.4759521484375,exact,5,394.0–634.7 mm yr-1
AU-Whr,-36.6732,145.0294,531.809326171875,exact,5,394.0–634.7 mm yr-1
AU-Wom,-37.4222,144.0944,590.3258056640625,exact,5,394.0–634.7 mm yr-1
AU-Ync,-34.9893,146.2907,402.7666931152344,exact,5,394.0–634.7 mm yr-1
BE-Bra,51.3076,4.5198,431.9701843261719,exact,5,394.0–634.7 mm yr-1
BE-Lon,50.5516,4.7462,470.2182312011719,exact,5,394.0–634.7 mm yr-1
BE-Vie,50.3049,5.9981,488.7662048339844,exact,5,394.0–634.7 mm yr-1
BR-Sa1,-2.8567,-54.9589,1111.390625,exact,7,>968.6 mm yr-1
BR-Sa3,-3.018,-54.9714,1118.89794921875,exact,7,>968.6 mm yr-1
CA-Gro,48.2167,-82.1556,383.2193298339844,exact,4,263.9–394.0 mm yr-1
CA-Man,55.8796,-98.4808,323.7563781738281,exact,4,263.9–394.0 mm yr-1
CA-NS1,55.8792,-98.4839,323.7563781738281,exact,4,263.9–394.0 mm yr-1
CA-NS2,55.9058,-98.5247,326.063232421875,exact,4,263.9–394.0 mm yr-1
CA-NS3,55.9117,-98.3822,323.7563781738281,exact,4,263.9–394.0 mm yr-1
CA-NS4,55.9144,-98.3806,323.7563781738281,exact,4,263.9–394.0 mm yr-1
CA-NS5,55.8631,-98.485,323.7563781738281,exact,4,263.9–394.0 mm yr-1
CA-NS6,55.9167,-98.9644,326.063232421875,exact,4,263.9–394.0 mm yr-1
CA-NS7,56.6358,-99.9483,310.3047790527344,exact,4,263.9–394.0 mm yr-1
CA-Oas,53.6289,-106.1978,370.6502380371094,exact,4,263.9–394.0 mm yr-1
CA-Obs,53.9872,-105.1178,358.8319396972656,exact,4,263.9–394.0 mm yr-1
CA-Qfo,49.6925,-74.3421,386.6043395996094,exact,4,263.9–394.0 mm yr-1
CA-SF1,54.485,-105.8176,376.0792541503906,exact,4,263.9–394.0 mm yr-1
CA-SF2,54.2539,-105.8775,376.0792541503906,exact,4,263.9–394.0 mm yr-1
CA-SF3,54.0916,-106.0053,373.7274475097656,exact,4,263.9–394.0 mm yr-1
CA-TP1,42.6609,-80.5595,552.3470458984375,exact,5,394.0–634.7 mm yr-1
CA-TP2,42.7744,-80.4588,521.9127197265625,exact,5,394.0–634.7 mm yr-1
CA-TP3,42.7068,-80.3483,521.9127197265625,exact,5,394.0–634.7 mm yr-1
CA-TP4,42.7102,-80.3574,521.9127197265625,exact,5,394.0–634.7 mm yr-1
CA-TPD,42.6353,-80.5577,552.3470458984375,exact,5,394.0–634.7 mm yr-1
CG-Tch,-4.2892,11.6564,802.67919921875,exact,6,634.7–968.6 mm yr-1
CH-Cha,47.2102,8.4104,512.12445068359375,exact,5,394.0–634.7 mm yr-1
CH-Dav,46.8153,9.8559,459.2020568847656,exact,5,394.0–634.7 mm yr-1
CH-Fru,47.1158,8.5378,520.25347900390625,exact,5,394.0–634.7 mm yr-1
CH-Lae,47.4783,8.3644,512.12445068359375,exact,5,394.0–634.7 mm yr-1
CH-Oe1,47.2858,7.7319,529.791015625,exact,5,394.0–634.7 mm yr-1
CH-Oe2,47.2864,7.7337,529.791015625,exact,5,394.0–634.7 mm yr-1
CN-Cha,42.4025,128.0958,432.7327575683594,exact,5,394.0–634.7 mm yr-1
CN-Cng,44.5934,123.5092,378.8150939941406,exact,4,263.9–394.0 mm yr-1
CN-Dan,30.4978,91.0664,316.0395202636719,exact,4,263.9–394.0 mm yr-1
CN-Din,23.1733,112.5361,873.20257568359375,exact,6,634.7–968.6 mm yr-1
CN-Du2,42.0467,116.2836,381.5594787597656,exact,4,263.9–394.0 mm yr-1
CN-Du3,42.0551,116.2809,381.5594787597656,exact,4,263.9–394.0 mm yr-1
CN-Ha2,37.6086,101.3269,329.3330993652344,exact,4,263.9–394.0 mm yr-1
CN-HaM,37.37,101.18,374.56280517578125,exact,4,263.9–394.0 mm yr-1
CN-Qia,26.7414,115.0581,805.1824951171875,exact,6,634.7–968.6 mm yr-1
CN-Sw2,41.7902,111.8971,294.99334716796875,exact,4,263.9–394.0 mm yr-1
CZ-BK1,49.5021,18.5369,519.78582763671875,exact,5,394.0–634.7 mm yr-1
CZ-BK2,49.4944,18.5429,507.7304382324219,exact,5,394.0–634.7 mm yr-1
CZ-wet,49.0247,14.7704,502.30322265625,exact,5,394.0–634.7 mm yr-1
DE-Akm,53.8662,13.6834,421.3583984375,exact,5,394.0–634.7 mm yr-1
DE-Geb,51.0997,10.9146,450.3780517578125,exact,5,394.0–634.7 mm yr-1
DE-Gri,50.95,13.5126,450.4152526855469,exact,5,394.0–634.7 mm yr-1
DE-Hai,51.0792,10.4522,465.752197265625,exact,5,394.0–634.7 mm yr-1
DE-Kli,50.8931,13.5224,450.4152526855469,exact,5,394.0–634.7 mm yr-1
DE-Lkb,49.0996,13.3047,497.5468444824219,exact,5,394.0–634.7 mm yr-1
DE-Lnf,51.3282,10.3678,465.752197265625,exact,5,394.0–634.7 mm yr-1
DE-Obe,50.7867,13.7213,450.4152526855469,exact,5,394.0–634.7 mm yr-1
DE-RuR,50.6219,6.3041,445.409912109375,exact,5,394.0–634.7 mm yr-1
DE-RuS,50.8659,6.4471,445.409912109375,exact,5,394.0–634.7 mm yr-1
DE-Seh,50.8706,6.4497,445.409912109375,exact,5,394.0–634.7 mm yr-1
DE-SfN,47.8064,11.3275,546.5693359375,exact,5,394.0–634.7 mm yr-1
DE-Spw,51.8922,14.0337,437.7088317871094,exact,5,394.0–634.7 mm yr-1
DE-Tha,50.9626,13.5651,450.4152526855469,exact,5,394.0–634.7 mm yr-1
DE-Zrk,53.8759,12.889,415.4722595214844,exact,5,394.0–634.7 mm yr-1
DK-Eng,55.6905,12.1918,389.38055419921875,exact,4,263.9–394.0 mm yr-1
DK-Fou,56.4842,9.5872,379.8316955566406,exact,4,263.9–394.0 mm yr-1
DK-Sor,55.4859,11.6446,372.0376892089844,exact,4,263.9–394.0 mm yr-1
ES-Amo,36.8336,-2.2523,243.16114807128906,exact,3,143.4–263.9 mm yr-1
ES-LgS,37.0979,-2.9658,446.5724182128906,exact,5,394.0–634.7 mm yr-1
ES-LJu,36.9266,-2.7521,313.0164794921875,exact,4,263.9–394.0 mm yr-1
ES-Ln2,36.9695,-3.4758,368.21661376953125,exact,4,263.9–394.0 mm yr-1
FI-Hyy,61.8474,24.2948,298.6543273925781,exact,4,263.9–394.0 mm yr-1
FI-Jok,60.8986,23.5134,326.41558837890625,exact,4,263.9–394.0 mm yr-1
FI-Let,60.6418,23.9595,326.41558837890625,exact,4,263.9–394.0 mm yr-1
FI-Lom,67.9972,24.2092,237.54763793945312,exact,3,143.4–263.9 mm yr-1
FI-Sod,67.3624,26.6386,257.22845458984375,exact,3,143.4–263.9 mm yr-1
FR-Fon,48.4764,2.7801,489.0007019042969,exact,5,394.0–634.7 mm yr-1
FR-Gri,48.8442,1.9519,452.6058349609375,exact,5,394.0–634.7 mm yr-1
FR-LBr,44.7171,-0.7693,605.43359375,exact,5,394.0–634.7 mm yr-1
FR-Pue,43.7413,3.5957,545.8695068359375,exact,5,394.0–634.7 mm yr-1
GF-Guy,5.2788,-52.9249,1394.0189208984375,exact,7,>968.6 mm yr-1
GH-Ank,5.2685,-2.6942,1067.3275146484375,exact,7,>968.6 mm yr-1
GL-NuF,64.1308,-51.3861,134.46607971191406,exact,2,5.0–143.4 mm yr-1
GL-ZaF,74.4814,-20.5545,10.301523208618164,exact,2,5.0–143.4 mm yr-1
GL-ZaH,74.4733,-20.5503,10.301523208618164,exact,2,5.0–143.4 mm yr-1
IT-BCi,40.5237,14.9574,497.2337646484375,exact,5,394.0–634.7 mm yr-1
IT-CA1,42.3804,12.0266,568.42633056640625,exact,5,394.0–634.7 mm yr-1
IT-CA2,42.3772,12.026,568.42633056640625,exact,5,394.0–634.7 mm yr-1
IT-CA3,42.38,12.0222,568.42633056640625,exact,5,394.0–634.7 mm yr-1
IT-Col,41.8494,13.5881,588.6087646484375,exact,5,394.0–634.7 mm yr-1
IT-Cp2,41.7043,12.3573,459.58953857421875,exact,5,394.0–634.7 mm yr-1
IT-Cpz,41.7052,12.3761,459.58953857421875,exact,5,394.0–634.7 mm yr-1
IT-Isp,45.8126,8.6336,584.672119140625,exact,5,394.0–634.7 mm yr-1
IT-La2,45.9542,11.2853,577.6485595703125,exact,5,394.0–634.7 mm yr-1
IT-Lav,45.9562,11.2813,577.6485595703125,exact,5,394.0–634.7 mm yr-1
IT-MBo,46.0147,11.0458,556.2291259765625,exact,5,394.0–634.7 mm yr-1
IT-Noe,40.6062,8.1517,452.94146728515625,exact,5,394.0–634.7 mm yr-1
IT-PT1,45.2009,9.061,583.0517578125,exact,5,394.0–634.7 mm yr-1
IT-Ren,46.5869,11.4337,513.18865966796875,exact,5,394.0–634.7 mm yr-1
IT-Ro1,42.4081,11.93,483.71343994140625,exact,5,394.0–634.7 mm yr-1
IT-Ro2,42.3903,11.9209,483.71343994140625,exact,5,394.0–634.7 mm yr-1
IT-SR2,43.732,10.2909,552.29400634765625,exact,5,394.0–634.7 mm yr-1
IT-SRo,43.7279,10.2844,552.29400634765625,exact,5,394.0–634.7 mm yr-1
IT-Tor,45.8444,7.5781,477.9774475097656,exact,5,394.0–634.7 mm yr-1
JP-MBF,44.3869,142.3186,454.0787353515625,exact,5,394.0–634.7 mm yr-1
JP-SMF,35.2617,137.0788,784.81414794921875,exact,6,634.7–968.6 mm yr-1
MY-PSO,2.973,102.3062,1142.92724609375,exact,7,>968.6 mm yr-1
NL-Hor,52.2403,5.0713,419.5969543457031,exact,5,394.0–634.7 mm yr-1
NL-Loo,52.1666,5.7436,415.8315124511719,exact,5,394.0–634.7 mm yr-1
PA-SPn,9.3181,-79.6346,1358.2677001953125,exact,7,>968.6 mm yr-1
PA-SPs,9.3138,-79.6314,1358.2677001953125,exact,7,>968.6 mm yr-1
RU-Che,68.613,161.3414,117.12652587890625,exact,2,5.0–143.4 mm yr-1
RU-Cok,70.8291,147.4943,122.31716918945312,exact,2,5.0–143.4 mm yr-1
RU-Fyo,56.4615,32.9221,394.759765625,exact,5,394.0–634.7 mm yr-1
RU-Ha1,54.7252,90.0022,363.1251525878906,exact,4,263.9–394.0 mm yr-1
RU-Sam,72.3738,126.4958,151.50534057617188,exact,3,143.4–263.9 mm yr-1
RU-SkP,62.255,129.168,217.5732879638672,exact,3,143.4–263.9 mm yr-1
RU-Tks,71.5943,128.8878,139.22378540039062,exact,2,5.0–143.4 mm yr-1
RU-Vrk,67.0547,62.9405,190.71646118164062,exact,3,143.4–263.9 mm yr-1
SD-Dem,13.2829,30.4783,319.0411071777344,exact,4,263.9–394.0 mm yr-1
SE-St1,68.3541,19.0503,178.38104248046875,exact,3,143.4–263.9 mm yr-1
SJ-Adv,78.186,15.923,81.58317565917969,exact,2,5.0–143.4 mm yr-1
SJ-Blv,78.9216,11.8311,87.2826919555664,exact,2,5.0–143.4 mm yr-1
SN-Dhr,15.4028,-15.4322,386.50018310546875,exact,4,263.9–394.0 mm yr-1
US-AR1,36.4267,-99.42,579.11083984375,exact,5,394.0–634.7 mm yr-1
US-AR2,36.6358,-99.5975,559.46588134765625,exact,5,394.0–634.7 mm yr-1
US-ARb,35.5497,-98.0402,661.3397216796875,exact,6,634.7–968.6 mm yr-1
US-ARc,35.5465,-98.04,661.3397216796875,exact,6,634.7–968.6 mm yr-1
US-ARM,36.6058,-97.4888,719.3955078125,exact,6,634.7–968.6 mm yr-1
US-Atq,70.4696,-157.4089,106.5504150390625,exact,2,5.0–143.4 mm yr-1
US-Blo,38.8953,-120.6328,448.172119140625,exact,5,394.0–634.7 mm yr-1
US-Cop,38.09,-109.39,320.2561340332031,exact,4,263.9–394.0 mm yr-1
US-CRT,41.6285,-83.3471,554.0106201171875,exact,5,394.0–634.7 mm yr-1
US-GBT,41.3658,-106.2397,305.6682434082031,exact,4,263.9–394.0 mm yr-1
US-GLE,41.3665,-106.2399,305.6682434082031,exact,4,263.9–394.0 mm yr-1
US-Goo,34.2547,-89.8735,826.74615478515625,exact,6,634.7–968.6 mm yr-1
US-Ha1,42.5378,-72.1715,548.44464111328125,exact,5,394.0–634.7 mm yr-1
US-IB2,41.8406,-88.241,564.1939697265625,exact,5,394.0–634.7 mm yr-1
US-Ivo,68.4865,-155.7503,143.92079162597656,exact,3,143.4–263.9 mm yr-1
US-KS1,28.4583,-80.6709,900.40399169921875,exact,6,634.7–968.6 mm yr-1
US-KS2,28.6086,-80.6715,961.21820068359375,exact,6,634.7–968.6 mm yr-1
US-Lin,36.3566,-119.0922,249.80979919433594,exact,3,143.4–263.9 mm yr-1
US-Los,46.0827,-89.9792,489.5101013183594,exact,5,394.0–634.7 mm yr-1
US-LWW,34.9604,-97.9789,710.38299560546875,exact,6,634.7–968.6 mm yr-1
US-Me1,44.5794,-121.5,417.16650390625,exact,5,394.0–634.7 mm yr-1
US-Me2,44.4526,-121.5589,423.4471435546875,exact,5,394.0–634.7 mm yr-1
US-Me3,44.3154,-121.6078,423.4471435546875,exact,5,394.0–634.7 mm yr-1
US-Me4,44.4992,-121.6224,423.4471435546875,exact,5,394.0–634.7 mm yr-1
US-Me5,44.4372,-121.5668,423.4471435546875,exact,5,394.0–634.7 mm yr-1
US-Me6,44.3233,-121.6078,423.4471435546875,exact,5,394.0–634.7 mm yr-1
US-MMS,39.3232,-86.4131,676.22943115234375,exact,6,634.7–968.6 mm yr-1
US-Myb,38.0499,-121.765,388.1703186035156,exact,4,263.9–394.0 mm yr-1
US-Ne1,41.1651,-96.4766,566.23126220703125,exact,5,394.0–634.7 mm yr-1
US-Ne2,41.1649,-96.4701,566.23126220703125,exact,5,394.0–634.7 mm yr-1
US-Ne3,41.1797,-96.4397,566.23126220703125,exact,5,394.0–634.7 mm yr-1
US-NR1,40.0329,-105.5464,339.7502136230469,exact,4,263.9–394.0 mm yr-1
US-Oho,41.5545,-83.8438,563.61822509765625,exact,5,394.0–634.7 mm yr-1
US-ORv,40.0201,-83.0183,638.615234375,exact,6,634.7–968.6 mm yr-1
US-PFa,45.9459,-90.2723,509.120361328125,exact,5,394.0–634.7 mm yr-1
US-Prr,65.1237,-147.4876,215.7005157470703,exact,3,143.4–263.9 mm yr-1
US-SRC,31.9083,-110.8395,363.3477478027344,exact,4,263.9–394.0 mm yr-1
US-SRG,31.7894,-110.8277,363.3477478027344,exact,4,263.9–394.0 mm yr-1
US-SRM,31.8214,-110.8661,363.3477478027344,exact,4,263.9–394.0 mm yr-1
US-Sta,41.3966,-106.8024,304.05535888671875,exact,4,263.9–394.0 mm yr-1
US-Syv,46.242,-89.3477,485.4760437011719,exact,5,394.0–634.7 mm yr-1
US-Ton,38.4309,-120.966,417.7388000488281,exact,5,394.0–634.7 mm yr-1
US-Tw1,38.1074,-121.6469,388.1703186035156,exact,4,263.9–394.0 mm yr-1
US-Tw2,38.0969,-121.6365,388.1703186035156,exact,4,263.9–394.0 mm yr-1
US-Tw3,38.1152,-121.6469,388.1703186035156,exact,4,263.9–394.0 mm yr-1
US-Tw4,38.1027,-121.6413,388.1703186035156,exact,4,263.9–394.0 mm yr-1
US-Twt,38.1087,-121.6531,388.1703186035156,exact,4,263.9–394.0 mm yr-1
US-UMB,45.5598,-84.7138,469.72479248046875,exact,5,394.0–634.7 mm yr-1
US-UMd,45.5625,-84.6975,469.72479248046875,exact,5,394.0–634.7 mm yr-1
US-Var,38.4133,-120.9508,417.7388000488281,exact,5,394.0–634.7 mm yr-1
US-WCr,45.8059,-90.0799,509.120361328125,exact,5,394.0–634.7 mm yr-1
US-Whs,31.7438,-110.0522,327.7666015625,exact,4,263.9–394.0 mm yr-1
US-Wi0,46.6188,-91.0814,476.473388671875,exact,5,394.0–634.7 mm yr-1
US-Wi1,46.7305,-91.2329,476.473388671875,exact,5,394.0–634.7 mm yr-1
US-Wi2,46.6869,-91.1528,476.473388671875,exact,5,394.0–634.7 mm yr-1
US-Wi3,46.6347,-91.0987,476.473388671875,exact,5,394.0–634.7 mm yr-1
US-Wi4,46.7393,-91.1663,476.473388671875,exact,5,394.0–634.7 mm yr-1
US-Wi5,46.6531,-91.0858,476.473388671875,exact,5,394.0–634.7 mm yr-1
US-Wi6,46.6249,-91.2982,476.473388671875,exact,5,394.0–634.7 mm yr-1
US-Wi7,46.6491,-91.0693,476.473388671875,exact,5,394.0–634.7 mm yr-1
US-Wi8,46.7223,-91.2524,476.473388671875,exact,5,394.0–634.7 mm yr-1
US-Wi9,46.7385,-91.0746,476.473388671875,exact,5,394.0–634.7 mm yr-1
US-Wkg,31.7365,-109.9419,307.04742431640625,exact,4,263.9–394.0 mm yr-1
US-WPT,41.4646,-82.9962,609.33782958984375,exact,5,394.0–634.7 mm yr-1
ZA-Kru,-25.0197,31.4969,646.2078857421875,exact,6,634.7–968.6 mm yr-1
ZM-Mon,-15.4391,23.2525,695.17755126953125,exact,6,634.7–968.6 mm yr-1
